text,label
"pengiriman sangat cepat, barang sesuai ikalauan, berfungsi baik, ",positif
kwalitas bagus. sesuai dengan yang ditawarkan. respons cepat,positif
sesuai yang diharapkan. terimaka .,positif
"barangnya bagus, pelayanan toko ini semuanya sangat memuaskan.recomend.",positif
sudah diterima,positif
pengiriman dan respon super cepat. tapi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,negatif
"produk sesuai deskripsi, packing rapi. rekomended.!",positif
ok lah. sesuai dengan harga.,netral
bukan merk kenmaster ternyata,positif
terimaka barang sudah sampai,positif
bagus. pengiriman cukup cepat,positif
sip.,positif
barang udh sampe.mksh.,positif
terimaka barangnya udah sampai.,positif
fast respon dan terbaiks,positif
maka barang sudah sampai,positif
bagus.top pengiriman cepat,positif
terima kasihs.,positif
merk beda tapi gp yang penting ukrn sama,positif
lihat bintangnya aja dah,positif
"bagus ,. .",positif
"barang sudah diterima. ukuran sesuai deskripsi. hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",positif
barang sudah sampai.tks.,positif
"bagus, terimaka .",positif
"barang sudah samapai gan, dan bagus",positif
"mantaf, sangat-sangat sesuai,",positif
barang sudah diterima dengan baik.,positif
"pengiriman cepat, kemasan bagus",positif
sesuai permintan. fast respon,positif
matab.god.sesuai permintan.,positif
barang yang dikirim tidak sesuai pesanan,negatif
barang lumayan kuat. god,positif
sudah sampai murah meriah,positif
"sudah di terima bos packing bagus, aman",positif
"maka , barang sesuai gambar",positif
langsung dipakai. mantap. terima kasih. maf baru kasi testi,positif
"harganya murah tapi isinya lumayan banyak n kuat. pesan kmrn hr ini nyampe. terima kasih toko besi timur jaya, tokopedia n wahana",positif
ok.,positif
terimaka barang sudah diterima,positif
unit nya sudah sampai.terima kasih,positif
barang sudah sampai. terima ka ,netral
ga nyampe sejam dari mulai transaksi.udah nyampe rumah.mksh,positif
"god.cepat, packing aman.",positif
barang sangat bagus sesuai diskripsi,positif
mantap sampai dengan aman gan.,positif
barang udah nyampe om maka h,positif
recomended.,positif
"barang sesuai, pengiriman cepat, ok",positif
mantap. fast respone. tx u.,positif
"barang bagus, packing cukup, kurir ramah",positif
mantap banget .,positif
produk sesuai dan bagus. terima kasih,positif
"php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.0 ternyata isinya ga cocok",negatif
terima ka semoga bermanfat.,positif
barang sesuai gambar dan diterima dalam kondisi baik,positif
trmk banyak juragan. atas kerjasamanya.,positif
keren produk nya mantaps,positif
barangnya sesuai sayan digambar,positif
"barang bagus.packing rapi,pokoknya top bgt",positif
ok. . . . .,positif
sesuai dengan apa yang sudah dijelaskan pada detail produk,positif
"barang cepat sampai, tapi belum dicoba, besokalauah kucoba dulu ya. baru testi lagi. terima kasih",positif
fast respon. barang sesuai dengan di gambar,netral
"barang bagus,pengiriman cepat,recomended",positif
barang dah nyampek. trimaka ,positif
barang sudah diterima dengan baik dan sesuai,positif
"cepet respon'a pesen pagi, siang udh sampe",positif
mantap.cepat sekali pengiriman pesan pagi.siang udah dteng barangnya jg bagus.terima kasih,positif
trims.,positif
barang bagus pengiriman cepat .,positif
sudah terima dan respon cepat.,positif
terimaka gan barang cepat sampai dan sesuai dengan yang di orde,positif
pelayanan memuaskan gan.,positif
barang sudah sampai tujuan dengan cepat gan mkash,positif
recsel,positif
keren bagus sangat berguna sekali,positif
"barang sesuai gambar, packing rapihlah, pengiriman standar dan harga terjangkau. terima ka ",positif
"belum dicoba, kalauo ok nanti bintang nya saya tambah",positif
recomended penjual semoga awet,positif
barang oke terima ka ,netral
"barang bagus, berfungsi dengan baik.",positif
barangnya datang tepat waktu,positif
barang sudah diterima dengan baik dan pengiriman yang cepat. terima ka .,positif
mantap gun tackernya gan,positif
god,positif
penjual merespon dengan cepat dengan proses pengiriman yang juga cepat. barang dipacking rapi dan berkualitas baru (bnib). stapler gun sudah termasuk isinya dan ada 3 jenis ukuran.,positif
sesuai deskripsi.lumayan lah untuk pertama kali,netral
barang jelek copotdan#34; terus tmpat taro isinya,negatif
barang dah sampe.cepat rapi dan respon penjual baik,positif
"barang sudah diterima dalam kondisi bagus, sudah di test, terimaka ",positif
produk bagus dan respon cepat.,positif
terima ka penjual barang baru sampai.tapi kurang teliti.mohon d perbaiki lg ya supaya gak tertukar no resinya dengan yang lain.,netral
"mantap, rekomen penjual, barang bagus",positif
barang sesuai deskripsi. pengiriman cepat. terima kasih ,positif
"delivery cepat, packing rapih, produk sesuai deskripsi gambar, trims ya gan",positif
"barang sudah sampai, langsung dicoba n lancar jaya. terima kasih penjual.",positif
mantaps brng sesuai dan cepat responya,positif
barang sesuai gambar respon penjual cepat,positif
barang di terima sesuai spek,positif
"barang telah tiba, sesuai gambar.",positif
barang sudah di terima thank u,positif
terimaka gan barang sudah sampai,positif
barang sudaj sampai gan tks.,positif
respon cepat. pengiriman juga cepat. sudah dites kualitas barang ok. trims,positif
terimaka h.,positif
"barang sudah dterima dengan baik, trima ka .",positif
"barang sudah di terima, bagus, packing rapih maka pelayanan nya",positif
"barang sudah sampai, bahan kokoh sptnya.udah di tes ke kayu.nempel kuat.untung dapet bonus isi nya.trims gan.",positif
packing sangat rapih dan barang sesuai yang dipesan,positif
"mantap, ajib, top, mantaps",positif
pengiriman danamp; packaging bagus. sesuai foto danamp; deskripsi. staple gun agak berat ketika dipake.,positif
oke. sesuai pesanan,positif
maka gan.barang sesuai .,positif
barang bagus. kalau beli isinya kira-kira di toko atk ada yang jual nda ya?,positif
"trims ya, barangx sudah sampai",positif
barang sesuai walaupun belum di coba.maka tokopedia,positif
packing bagus barang sesuai diskripsi,netral
mantap fast respon.,positif
"barang sudah sampai, belum tak coba",positif
bagus sesuai deskripsi dan gambar. belum dicoba semoga g ada masalah,positif
produk bekerja dengan baik danamp; kuat,positif
beli staples gak jual isinya. hanya sekali pake. ckckck,negatif
bagusbanget.,positif
terimaka barang sudah sampai,netral
puas pisan cepet pisan,positif
"barang bagus sesuai deskripsi, packing rapi, pengiriman cepat. semoga tambah sukses gan, tks.",positif
kirimanya sudah sampe. maka ,positif
barang sesuai pesanan,positif
barang sudah sampai dengan cepat. sudah dicoba dan hasilnya ok. sukses terus bos.,positif
"sesuai gambar, tapi belum dicoba. semoga memuaskan.terima kasih",positif
barangnya kurang bagus atomnya gak masuk semua,netral
sangat cepat responya.god job terima kasih,positif
sudah saya terima dlm keadan baik. trims,positif
"terima ka , thank you, danke, gracias, kitos, sayaukron.",positif
"barang sesuai gambar, pelayanan oke",positif
barang sudah sampai.,positif
barang sudah di terima dengan baik,positif
barang sesuai gambar. kemasan baik dan pengiriman cepat. terima ka ,positif
"barang sesuai deskripsi,cuma terlambat di pengiriman.semoga berkah",positif
"sesuai dengan deskripsi dan foto, dan sangat cocok bagi saya yang baru belajar. saya rekomendasikan toko rumah baju kita untuk belanja disini sebab komitmen dengan pembicaran kita dichat. setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimanya mengunakan pos indonesia sudah sesuai dengan waktu pengiriman yang saya pilih. saya puas dengan pelayan kalian",positif
god product. mantap jaya. recomended penjual,positif
produk mantap pelayanan cepat. terimaka ,positif
"barang sesuai deskripsi, tolong kemasanya di pebaiki lagi dika lakban biar aman, punya saya pakunya tercecer dimana-dimana kotaknya robek",positif
"barang sesuai deskripsi dan bagus, semoga awet. terima kasih",positif
packing baik. recomended penjual. barang sesuai pesanan,positif
bagus. nanti saya pesan lagi di toko ini,positif
mantap gan bagus.,positif
"saya mau review utk packaging, produk dan penjual. pertama packaging sangat rapi, pakai double buble dan dibalut lagi dengan karton tebal. kedua produk sangat berkualitas tingi, harga standar dan kualitas juara, ketajaman ujung mata paku sangat tajam hinga mempermudah paku tembusnya. ketiga penjual sangat sangat ramah, baru kali pertama ini saya dilayani dengan sangat puas. pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan, bahwa penjual siap utk mengirim ulang tanpa membawa barang yang rusaknya itu. saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recomended penjual.",positif
"respon dan pengiriman cepat, barang oke, god penjual",positif
"pengiriman cepat,packing rapi dan barangnya sesuai dengan deskripsi",positif
bagus bagus bagusksksnsnjsjsksmsms,positif
"respon dan pengiriman cepat, barang bagus",positif
"selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",positif
"recomended penjual, respon cepat packing mantap, barang pesanan di buble wrap. mantaps",positif
"produknya ok,.",positif
"kualitas okey, maka gan. semua barang aman, dan sesuai deskripsi.",positif
"mantap jos tanpa kendala, sampai jg sangat cepat, packingnya aman kemasan dan produk mulus, top pkoknya sukses selalu",positif
barang sesuai dengan deskripsi. pengiriman cepat gak pake lama. barang bagus. mantap dah pokoknya. terima kasih gan,positif
"barang sesuai pesanan, respon dan pengiriman cepat, god penjual",positif
barang sesuai posting. sip,positif
"berfungsi dengan baik, pengiriman dan respon cepat",positif
barang sesuai dengan gambar pengiriman cepat. respon penjual ,positif
recomended penjual .,positif
"barang bagus, respond cepat.",positif
barang sesuai order respon dan pengiriman cepat,positif
terima ka pak. barang nay sudah sampai,positif
bagus mksh,positif
pas dengan air nailer nya gan . terima kasih. recomended penjual.,positif
oke sip sudah dinpake. mantap,positif
maka juragan.,positif
mantap.! salam ningrat.!,positif
"best dah best best, penjual yang bner best dah.",positif
barang datang sesuai pesanan. packing rapi.,positif
mantap barng oke dn cepat,positif
"mka bnyak barang sesuai senang harga miring, kualitas bagus sekali, sukses ya gan",positif
"alhamdulilah paket sudah sampai, respon dan pelayanan cepat, recomended , mksh bos",positif
barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,positif
produk bagus.cuma isinya agak susah.produk sesuai deskripsi. langsung dipakai ok dan mantul. moga awet aja. terima ka ,positif
terima ka paket sudah di terima,netral
gan jual isi steples nya.,positif
barang bagus.respon cepat.maf ulasanya lambat,positif
barang sudah diterima.,positif
maka barang dah smpai dengan aman,positif
"barang sudah sampai dengan packing rapih , terimaka gan",positif
alhamdulilah barang nya sudah kami terima dengan baik. pesanan cepat sesuai dengan harapan. 1 hari proses pengiriman. mantap,positif
"paket sudah saya terima dengan baik, terima ka banyak atas pelayananya!",positif
barang udh nyampe gan. tks. sukses terus house sparepart.,positif
barang sudah sampai. tetapi bingung cara pengunanya krn tidak ada petunjuk pemakaian. tulisanya bahasa china semuanya.,positif
"sebaiknya kalau mau ngirim barang.diperiksa dulu gan, kondisi barangnya layak apa gak gitu loh. (isinya karatan semua)",negatif
item is ok! packing and delivery sped are also prima.terima kasih,positif
"trima ka , sudah saya dtrima dengan baik.",positif
"pengiriman cepat, packing aman tapi isi staplesnya pada karatan semua, beli 2 box",netral
maka juragan,positif
"sangat puas, barang sudah di terima dengan baik",positif
"terima ka , barang sudah diterima dengan baik",positif
paket sampai dengan cepat barang sesuai dengan gambar,positif
"maka agan barang cepet sampai,isi mulus . recomended penjual .next order lagi",positif
barang sesuai gambar dan pengirimanya cepat.,positif
ini juga okeh.,positif
"barang cepet sampai, terima ka .",positif
isinya ada yang karat. produk sesuai gambar,netral
refilnya ada yang karatan tapi lumayan dah,positif
isi steplesnya.sudah lama ya gan ada yang sudah agak berkarat.,positif
terima ka . barang sudah diterima. recomended penjual.,positif
barang dah sampe. pengiriman cepat.,positif
"barang dah sampai. tapi saya salah tafsir, tak pikir 10m utk lebarnya, ternyata kecil. ya sudahlah bisa untuk yang lain. terima kasih",netral
sip. ;),positif
"respon cepat, barang sesuai. terima kasih gan",positif
terima ka barang sudah diterima dengan baik,positif
terima ka barang sudah sampai dengan baik. pengirimanya agak lambat. saya pesan dan bayar tgl 13/04 sampai tgl 17/04. jakarta to jakarta. mungkin ini efek dari hari libur nasional jumat s/d mingu atau ada hal yang lain yah?,positif
maf baru sempet ksh ulasan. barang udh diterima 2 hari yang lalu. mksh ya. senang ,positif
barang sesuai gambar. walau sedikit slow respon tapi ma ok. terima ka gan,positif
sip gan mantap maka ya,positif
"produk tidak sesuai, order prohex yang dikirim ini",negatif
"barang oke, packing aman, proses kirim cepat. trims",positif
sudah diterima. thank you.,positif
"barang sudah sampai dengan selamat, packing jg rapih",positif
"okeh, sip, terima ka .",positif
"fast respon, harga murah. god n recomended penjual .",positif
barang bagus isi 10 lumayan,positif
"clear as deskripsid, .recomended penjual,.a+",positif
produk bagus dan penjual recomended,positif
ok,positif
terima kasih gan pesanan udh sampe. recomended penjual.,positif
terimaka .,positif
mantul fast respon kaya vr|46,positif
"terima ka . barang telah diterima, semoga mantap .akan order lagi",positif
pas dengan yang saya cari . barang bagus,positif
barang cocok dengan harapan .,netral
terimaka barangnya sudah sampai.,positif
"salah beli, kekecilan. kualitas lumayan lah",positif
barang sesuai deskripsi.,positif
mantap lah.harga murmer.,positif
sesuai deskripsi dan pengiriman cepat.,positif
trimaksh brang telah sampai dengan utuh.,positif
lumayan. cocok dengan harganya,positif
mantap.,positif
mantap .,positif
"barang sudah sampai gan, langsung ane pakai untuk mbenerin kursi",positif
kiriman lama tapi sesuai pesanan,positif
dah sampe. maka gan.,positif
recomended penjual.terima kasih gan,positif
pesanan sudah sampai. terima ka .,positif
barang diterima sesuai pesanan.terima kasih,positif
biar bintang yang bicara. .,positif
ok.,positif
fast respont.best penjual.,positif
barang bagus sesuai pesanan mas terima kasih,positif
sesuai pesanan n proses cepat pertahankan y gan,positif
barang sudah diterima.,negatif
"god penjual, sukses selalu",positif
blom kpake ga cocok ama pluru nya trnyata,netral
semoga awet.,positif
terimaka .,netral
terima ka .,positif
barang sesuai harga n berfungsi dengan baik.,positif
pesanan sesuai dengan gambar pengiriman cepat maka .,positif
"thnks gan,barang sesuai foto,mudah-mudahhan awet nih,belum coba karna belum ada isinya,=)",positif
"barang sudah sampai, belum dicoba semoga bisa pakai dan awet. thank u penjual",positif
"barang sudah sampai, bagus packing rapi",positif
"barang sesuai gambar, barang bagus, murah tapi tidak murahan",positif
barang sudah ditrima dan berfungsi.manteb gan,positif
terima kasih.terima kasih.terima kasih.terima kasih,positif
sesuau dengan pesanan semoga awet. terima kasih.,positif
barang sesuai pesanan. mantap.,positif
bngung ini isi staples tembak nya ukuran nomer berapa ya,positif
barang sudah sampai. dan barang ok. terima ka ,positif
"sesuai gambar, sesuai kualitas dengan harga",netral
alat bagus berjalan normal bahanya bagus pelayanan ok.,positif
sip barang dah nyampai. tengkyu,positif
mantap sampai dengan aman gan.,positif
terima kasih bgt ya say suka bgt sama barang nya sesuai dan god quality,positif
barang sudah sampai. kualitas barang sesuai harga. terima kasih.,positif
bad response.ga ada jawaban setiap di tanya.sangat sangat silent penjual,netral
tks.,positif
respon kurang cepat.lain kali respon agak cepat.terima kasih,netral
bagus . pengiriman ok . rekomen,positif
barang sesuai pesanan mantaf,positif
"super . ga ribet,cepet,ga perlu nanya ada stok atau ga,saya langsung order .proses,sehari sampe . mantap. barang murah tapi ga murahan. mantaps recomended penjual",positif
"sesuai dengan pesanan, sangat berguna",positif
bagus dan cepat sampai barang nya oke,positif
barang sudah sampai.terimaka next time order lagi,positif
maka ya. kiriman dah sampe,positif
"ya lumayanlah untuk dekorasi semoga awet ya,",netral
harap informasi isi staples yang bagaimanakah yang cocok?,netral
okelah.sesuai dengan deskripsi,positif
puas. terima kasih,positif
"produk sesuai deskripsi, foto packing,pengiriman,rapicepat, mantap sukses selalu terimaka ",positif
"cepet bgt nyampe order yang 4hari,1hari udah sampe",positif
"produk sesuai deskripsi, pengiriman cepat",positif
"barang kualitas bagus. sudah coba dipakai, bekerja seperti yang diharapkan.",positif
produk sesuai dengan gambar.mantap,positif
"mantap alatny, sekali jepret langsung tancap,pokokny recomended.",positif
terima kasih barang dah sampe.,positif
original sesuai foto bagus mantap,positif
barang bagus sesuai.pesanan.,positif
"babut , maksudnya bagus , belanja disini , barang sesuai gambaran di otak saya",positif
"asli rapide r-23, respon penjual cepat",positif
produk sesuai dengan deskripsi.,positif
cepet abieas gan,positif
"cepet sampainya,recomend",positif
"telah diterima dengan baik, semoga awet barangnya",positif
recomemded penjual.,positif
terima ka sudah sampai,positif
pengiriman cepat packing rapi,positif
sesuai. maf baru konfirmasi. fast respon.,positif
recomsel.,positif
bagus.berfungsi dg baik,positif
barang diterima sesuai order,positif
"respon cepat, packing rapi dan aman, maka ya",positif
"produk cepet bgt sampainya,sesuai gambar.penjual ramah.trimaka dan sukses terus",positif
"pengiriman cepat, barang sesuai deskripsi, terima ka ",positif
paket mantap langsung dipakai dan hasilnya memuaskan .recomended nih .untuk order berikutnya.,positif
barangnya sesuai dengan harapan,positif
"alhamdhulilah pesanan k sudah sampai lebih cepat dari perkiran, kualitas barang oke banget, sangat memuaskan.",positif
"barang sampai dengan selamat, packing rapih pake buble, pengiriman cepat. top lah",positif
barang sesuai deskripsi dan response penjual cepat.,positif
"barang cepat sampai, pesan sabtu, mingu sampai, sesuai harapan, tks.",positif
 barang berkualitas,positif
barang bagus danamp; pengiriman cepat,positif
terimaka .,positif
"lumayan untuk harga segitu, bagus juga dan bekerja dengan baik",positif
"pengiriman cepat, dan barang sesuai pesanan",positif
god stuf . recomended !,positif
barang lom dicoba. pasti bagus mantap dah.,positif
"barang dtg cepat, berkualiras, dan penjual respon. ok trims.!",positif
"barang sudah diterima dengan baik, sgb lah, fungsi jg ok.",positif
barang bagus sangat kokoh,positif
"bagus gan, barang nya kokoh",positif
barang sesuai dengan pesanan.mantap gan,positif
brh sudah sampe. .trims gan.,positif
pengiriman sangat cepat dan kenasan baik,positif
god response recomended penjual tapi barangnya kurang bagus.,netral
barang sesuai pesanan dan berfungsing dengan baik. terima kasih ya.,positif
"orang counter, tukang jok, kuli bangunan, tukang cilok, tukang sate, dariver grab, supir go car dl wajib beli ini. pekerjan jd mudah",positif
barangnya memuaskan gan.,positif
"barang sudah diterima dengan baik,pengiriman sesuai jadwal . mantap 10 jempol dah",positif
god.,positif
"trimaka , gan barang dah sampai. top.",positif
tidak bisa untuk masang jok gak ke pake,negatif
"staples nya sudah sampai, tks",positif
produk sesuai dengan foto terima ka gan,positif
"god, proses cepat.",positif
respon cepat pengiriman super cepat barang sesuai mantap,positif
"barang bagus,respon cepat.tx.",positif
"sudah dicoba, kualitas oke sesuai deskripsi, terima ka ",positif
bagus kren,positif
"responya cepet, barang sudah sampai, dicoba juga berfungsi baik,",positif
cepat sampai mantap maka ,positif
cepat pengirimanya ea,positif
"mantep, barang bagus. terima kasih ya.",positif
"penjual oke, packing oke, barang fungsi dg baik. jne nya yang busuk. masa dari karkotak luar smp isi dalamnya basah semua kena hujan. kurir kampret",positif
"respon cepat,barang sesuai poto,dan berfungsi normal.",positif
barang bagus terima ka ,positif
sangat cepat dan barang persis contoh,positif
barang oke sip recomended penjual,positif
barang sesuai pesanan,positif
terima kasih. recomended.,positif
"terima ka gan . barang sudah sampe, "" isi straplesnya udh patah-patah rejectn sprtinya"" . semoga bermanfat . semoga mkin laris lapaknya. maka ",positif
"barang bagus sesuai gambar, danamp; sesuai harga, trims y",positif
"okey gan , maka barang sudah mendarat",positif
bagus.,positif
barangx sudah sampai.packing dan barangx bgs bngt.mksh gan.,positif
staples sudah dicoba dan berfungsi baik. terima ka penjual.,positif
barang sudah sampai dan berfungsi dengan baik,positif
"respon penjual dan pengiriman cepet banget, packing aman dan rapi, kualitas barangnya gak murahan dan berfungsi dengan baik. recomended terima ka !",positif
"paket sesuai pesanan, gosend lagi bagus cepat terima ka ",positif
terimaka barang sudah sampe.pengirimanya cepat kemasan rapih.tks,positif
"oke top markotop, proses cepat, malam bayar, siang sampai",positif
"terima ka untuk segala pelayananya, barangnya bagus, mau saya gunakan pasang kalauem kabel biar lebih cepat. ternyata brad nail f15 juga bisa masuk. salam sukses gan.",positif
udah samapi.maka banyak juragan.,positif
"sesuai, bagus, terima ka .sukses terus",positif
"barang sesuai, pengiriman ckp cepat. mksh",positif
"barang sesuai deskripsi, penjual responsif, pengiriman cepat dan akurat. terima ka ",positif
sesuai deskripsi. terima ka ,positif
"respon dan proses order cepat, barang sesuai gambar dan pengunan berfungsi baik",positif
barang sudah sa.pai dan dicoba sudah ok,netral
trims.,positif
"barang oke, sesuai berfungsi dengan bagus, semoga awet. terima kasih gan",positif
lumayan,positif
sesuai pesanan. mantaplp,positif
terimaka paketnya sudah sampai. god saler recoment.,positif
"bagus barangnya, sesuai dengan deskripsi. penjual top. thank you",positif
paket sudah saya terima. terima ka ,positif
thaks.,positif
"barang sudah diterima, respon penjual cepat, pengiriman juga cepat. barang bagus,",positif
barang dah sampe cuma belum di buka. mudah-mudahan bagus.,positif
cepet bgt proses pngirimanya.,positif
barangnya sudah sampai gan trims,positif
barang bagus. pertama agan na krm barang na gk dpt isi staples na gr-gr kesalahan pabrik yang mn msh segel tapi isi staples na gk ad. lngsng komplain lwt tokopedia. agan na lngsng mnt krm balik n barang d krm yang sesuai. ongkir bulak balik d tangung ama agan na. terima kasih bgt gan. bnr-bnr recomended penjual.,positif
paket sudah sampai dengan selamat. barang bagus. dapet isinya 3 macam pula. tq,positif
sudah sampai dengan selamat. fast response. thks.,positif
thank you. proses pengiriman cepat.,positif
maka .responya cepat sekali.kemarin sore pesan.tadi siang barang sampai.tks,positif
"produknya bagus bosque.,.,.,.",positif
kirim nya cepat. produk lumayan.,positif
mantap.,positif
"alus uy geus nepi deui, nuhun. mudah-mudahan awet",positif
sip thankdan#39;s,positif
pengiriman tepat waktu terima ka tambah sukses,positif
respon cepat.barang sesuai di gambar.4 jam udah sampe.maka gan.,positif
barang bagis sesuai diskripsi,positif
"mantap, sesuai yang di ikalauankan",positif
ksioioip,positif
mantap. fast respon. harga bersahabat.,positif
terimaka . barang sudah sampai.,positif
"barang kurang bagus, kadang staples ga keluar, agak kurang bagus",netral
mantap . sesuai pesanan dan semoga awet,positif
staples nya o. k gan,positif
"fast respon. material bagus, semoga awet. tq gan.",positif
terimaka barang sudah sampai sesuai dengan pesanan dengan layanan dan respon yang cepat.,positif
barangbsudah sampai yujuan cepat parking bagus,positif
ok.,positif
"bagus, sesuai dengan pesanan dan berfungsi dengan baik.",positif
top bgt,positif
terimaka barang sudah saya terima sesuai pesanan.,positif
"packing ok, respon cepat and barang sesuai deskripsi. recsel.",positif
"hari ini saya ke ltc lindeteves, memang lbh baik online,dpt bebasongkir, sangat efisien belanja. recomended penjual",positif
"sudah diterima sesuai deskripsi, barang bagus",positif
udh 3 x lbh beli disini.ga pernah kecewa bli disini.fast respon.pengiriman sangat cepet dan rapi.lanjutkan.recomended bgt,positif
"terima ka , barang sudah sampai gan",positif
"barang bagus, cepat sampai, recomended!",positif
sangat puas belanja di toko ini,positif
barang sampai dengan selamat.,positif
"barang sesuai, respon cepat. jempol h.",positif
selalu puas dengan pelayanan toko ini dan tokopedia. top penjual,positif
"respon cepat,paket cepat sampai",positif
barang sudah sampai.fast respons ,positif
recomended penjual.bos,positif
barang nya okey. pengiriman juga cepat.mantap.maka yah.,positif
"barang sudah sampai, terima ka ",positif
pas. cocok. sesuai dengan gambar dan deskripsi,positif
barang sesuai pesanan.mksh,positif
belanja kedua kalinya. selalu memuaskan. respon cepat. recomended penjual ,positif
stlh trf lsg dikirim oleh wahana. pake wahana ke serang cuma sehari sudah sampai. recomended,positif
packing rapi penjualnya juga ramah produk juga bagusmaka gan,positif
cpt bgt pake wahana sampe kurang dari 24jam ke serang. god!,positif
"produk sesuai dengan etalase gambar, pengiriman cepat, respon baik. pokok nya ok lah. sukses selalu dan tingkatkan terus pelayanan",positif
baru nyoba merek ini ternyata bagus. sukses jualanya,positif
tiba lebih cepat .,positif
mantap gan. sesuai pesanan dan perkiran. mantap tap dah. terima kasih gan,positif
sesuai pesanan.,positif
"terima kasihs gan, barangnya sudah sampai dengan baik.",positif
ok pas mantap.,positif
terima kasih ya bos semoga bermanfat,positif
jos,positif
barang sudah sampai. terima kasih for penjual,positif
"barang udah nyampk tadi sore, baru konfirmasi baru pulang kerja",positif
oke uda kami terimah barang bagus. tidak ada masalah. mantap.,positif
god quality . suwun y sukses slalu,positif
"respon tercepat dari semua toko yang pernah saya order, mantap",positif
"barang sesuai deskrepsi, bagus",positif
"produk sesuai foto, uji coba hasil memuaskan",positif
sip,positif
sudah diterima dan sesuai pesanan,positif
